genes	logFC	logCPM	LR	PValue	FDR
Bra037196	0.340407414947186	9.21519543083295	0.258745193503131	0.610983537046425	0.744308435354876
Bra019854	0.137827528942907	5.42310747213488	0.258475891220229	0.611169176567825	0.744426944319181
Bra100824	-0.195378666164122	0.0747067506016167	0.258474033098885	0.611170457858816	0.744426944319181
Bra012760	-0.0678258741946601	6.46307126709494	0.258459270319214	0.611180637925558	0.744426944319181
Bra000827	-0.103094339978903	6.19809493423144	0.25845107872545	0.611186286814398	0.744426944319181
Bra002185	-0.127486559385175	2.8107863655665	0.258439396967589	0.611194342700705	0.744426944319181
Bra011733	-0.113988892957071	5.30848598129817	0.258369452075854	0.611242582366314	0.744454708226204
Bra001718	-0.100095887167634	3.7076779057562	0.258340504758955	0.611262549185886	0.744454708226204
Bra014020	-0.099070167687945	3.66889074353795	0.258177016824064	0.611375343724369	0.74453322464686
Bra020878	0.285822814056109	-0.341501958742223	0.25812732963103	0.611409633102154	0.74453322464686
Bra025349	0.0705386823696256	5.64516375332736	0.258119330694008	0.611415153596185	0.74453322464686
Bra023328	-0.210391941336555	3.69060361487071	0.258115422653717	0.611417850782832	0.74453322464686
Bra028714	-0.700911352652576	-0.327400121351045	0.258035431306951	0.611473063533245	0.744572804503622
Bra041070	-0.103925886913062	4.08620367381911	0.25789781331865	0.611568077352684	0.744638737281393
Bra010998	-0.108786376815635	1.8853067541519	0.257891216109513	0.611572632979941	0.744638737281393
Bra005644	0.19249816586982	3.37349226295207	0.257836266377154	0.611610580736722	0.744657288076605
Bra014706	-0.451178413879437	0.262981802650542	0.257774995341087	0.611652899923159	0.744681159665081
Bra100013	-0.291523466508397	0.252924127101792	0.257722295533874	0.611689304123017	0.744690204643402
Bra000984	0.114420754570531	3.10310418482504	0.257698482875533	0.611705755069268	0.744690204643402
Bra037094	0.130575365352066	2.85253018335069	0.257510882523682	0.611835391988077	0.744820368956784
Bra032498	0.111427388385671	2.54634301458723	0.257420184466156	0.611898088094944	0.744869035953402
Bra001710	-0.276490209605288	0.722811774007632	0.257158552910411	0.612079021855211	0.745061625749649
Bra007525	-0.0924317559232981	4.00212436174409	0.257111749167137	0.612111401623852	0.745073378565534
Bra024406	0.0945347108753233	8.80203620889675	0.256822967001213	0.612311268913466	0.745288991864938
Bra026173	-0.111122130172986	4.74927651529875	0.256694103620859	0.612400501347005	0.745343154659247
Bra030523	-0.398767416112584	2.41106291496554	0.256693046437178	0.61240123351833	0.745343154659247
Bra034013	0.135180955494237	2.04016470459575	0.256622840916123	0.612449859839527	0.745365734762347
Bra019276	0.490069772063029	1.55269459736284	0.256600618707438	0.612465253308702	0.745365734762347
Bra023136	0.0886094230702429	5.17414888988357	0.256529037191662	0.612514843987553	0.745398418447773
Bra100659	0.220021423851232	1.40737383003442	0.256277763013628	0.612688992095946	0.745582673935708
Bra016333	-0.669311774298985	2.03878416578871	0.255898264806007	0.612952210589208	0.745875301684544
Bra036531	-0.081793152941279	2.47327912806186	0.255853921693696	0.612982982792629	0.745885064272478
Bra017480	-0.244100072788014	2.85777863202631	0.255624418245645	0.613142301807665	0.746051237637048
Bra101286	0.785101477712787	1.81733830934511	0.255533430898581	0.613205489179606	0.746100433210812
Bra033730	-0.0766247605234767	6.0817640400287	0.2553548352344	0.613329558393343	0.746223698643407
Bra033637	-0.0949046462347096	6.83196771993209	0.255272224475306	0.613386965959734	0.746265852273621
Bra035586	-0.0874152773810905	4.93230660173399	0.255218763284205	0.613424123229918	0.746283366543203
Bra035181	-0.121756063884319	3.86736727810242	0.255045983513355	0.613544244216745	0.746366583809029
Bra003251	0.101558904915607	7.30348485213549	0.255038630880023	0.613549357091178	0.746366583809029
Bra101322	0.192217665625697	-0.0631634561949767	0.255022150138309	0.613560817805983	0.746366583809029
Bra026640	0.0960656077430548	1.93822455651286	0.254814891158276	0.613704985477756	0.746478626401567
Bra019884	0.294238596475246	2.3756815984863	0.254799284477755	0.613715844336851	0.746478626401567
Bra014005	-0.161835317369948	8.19069908429187	0.254791549291383	0.613721226500767	0.746478626401567
Bra015798	0.180641746779858	4.60820795824659	0.254711547985622	0.613776897642817	0.746518646103611
Bra102703	0.130519618865137	0.487686032889113	0.254614715956578	0.613844295589543	0.746549130692534
Bra010055	-0.182365517790741	2.28930878577047	0.254608348980355	0.61384872775604	0.746549130692534
Bra037090	0.104471325504452	2.57844386124602	0.254577403228517	0.613870270639909	0.746549130692534
Bra011537	-0.140517560163215	6.10216529820265	0.254425533199097	0.613976018773489	0.746592348931826
Bra018897	0.0678363784143586	5.06707223676283	0.254415806139683	0.613982793140044	0.746592348931826
Bra011285	-0.410881776027972	1.2052004947219	0.254401929903707	0.613992457463035	0.746592348931826
Bra001218	-0.0912766053598268	3.80314370481325	0.254395562923754	0.613996891957109	0.746592348931826
Bra037122	-0.0561587754615908	5.9547419189676	0.254310822483877	0.61405591887282	0.746636432860491
Bra008437	0.198181356356475	6.31949645259515	0.254122655066197	0.614187033143823	0.746736189993055
Bra032124	-0.122729787933539	6.44298602586493	0.254122214053098	0.614187340511409	0.746736189993055
Bra010097	0.121040442834402	7.31442122906346	0.254095028684773	0.614206288215839	0.746736189993055
Bra036588	-0.281869328016617	3.27122978824802	0.254037650708113	0.614246283789109	0.746757125091532
Bra004436	0.0734325485111118	4.50677799048714	0.253967754017673	0.614295013240853	0.74678867627467
Bra025037	0.252810894780457	9.01058345266515	0.253902508992127	0.614340507308047	0.746816292058468
Bra029381	0.0940051919097153	6.29952188175161	0.253665994477238	0.614505485672504	0.7469829182254
